country,description,designation,points,price,province,region_1,region_2,variety,winery
US,"
                      This is an awesome expression of cool climate Syrah, with rosemary-crusted lamb chops, peppercorns, asphalt and elderberry-jam aromas starting the show. The palate is intense with cracked pepper, bay leaf, rosemary oil and sage, which play against riper black-fruit tones and elegant lavender flavors.                      ",Estate,96,38.0,California,Sta. Rita Hills,Central Coast,Syrah,Melville
US,"
                      The nose of this wine from the folks at Balo Vineyards is full of ripe fruit, giving it a powerful yet nuanced feel. Intense, deep fruit flavor mingles with sage, rhubarb, black tea and a touch of black pepper. It's delicious and complex on the palate, with smooth, fine layers of integrated tannins and acidity. Best after 2023.                      ",Docker Hill Vineyard,96,48.0,California,Mendocino,Mendocino County,Pinot Noir,Bee Hunter
France,"
                      Old vines dating to 1958 are the basis of this concentrated wine. Bold tannins and swathes of black fruits combine with the structure to give a wine that is superb and has an enormous life ahead. Wait at least until 2025.                      ",,96,336.0,Burgundy,Latricières-Chambertin,,Pinot Noir,Domaine Faiveley
France,"
                      Even among a lineup of fantastic peers in a fantastic vintage, this bottling of Les Souteyrades is a stunner. It's intensely rich, bursting with mulberry and cherry flavors, yet not brawny or dense. Finessed and fine in texture, it's marked by soft, chalky tannins and bright, sunny acidity. The finish is long, offering lingering hints of crushed earth and garrigue. A treat to savor now–2030.                      ",Les Souteyrades,96,33.0,Rhône Valley,Gigondas,,Grenache-Mourvèdre,Domaine Saint Damien
Italy,"
                      Condensed black-cherry aromas meld with odd tones of fennel seed and caraway on the nose. Light in feel, the palate brings more of the same, with a dusty, tannic grip.                      ",La Murate,86,12.0,Central Italy,Montepulciano d'Abruzzo Colline Teramane,,Montepulciano,Nicodemi
Spain,"
                      This rosé of Tempranillo opens with a popular pink Provence color and not too serious aromas of citrus fruits and cheese. The palate, despite the wine's light color, is chunky and a bit sticky. Chewing gum flavors flatten out on a finish that's showing the first stages of oxidation.                      ",Tempranillo,86,13.0,Northern Spain,Navarra,,Rosé,Otazu
Spain,"
                      Apple-juice and pear aromas lead to a mostly flat palate that's plump but shapeless. Stale apple and stone-fruit flavors lack vitality and taste sweet, while this brut finishes wheaty and oxidized.                      ",Gran Reserva Brut,86,45.0,Catalonia,Cava,,Sparkling Blend,Pere Ventura
Spain,"
                      Raw reedy red-fruit aromas are scratchy and herbal. Given that, it's not a surprise that this Graciano is clampy on the palate. A mix of sweet and savory flavors includes red currant, pomegranate and tomato, while this is linear and doesn't generate much excitement on the finish.                      ",Roble,86,14.0,Northern Spain,Navarra,,Graciano,Príncipe de Viana
France,"
                      Crushed violet petals, bramble and baking spice mixes with boysenberry and blackberry tones on the nose and mouth of this easy-to-like wine. Straightforward and solid, it's well balanced, with some textural interest that lends a subtle grip to the close.                      ",,86,12.0,France Other,Vin de France,,Cabernet Sauvignon,Recital
France,"
                      Bright, fresh apple-flesh and sweet-orange aromas lead the bouquet of this wine, though only with moderate intensity. The palate offers enough acidity to balance the ripe fruit tones, while hints of dried herbs and wood spice unfold on the medium-length finish.                      ",,86,12.0,France Other,Vin de France,,Chardonnay,Recital
